Circle,Operator,Band,StartFrequency,EndFrequency,LinkType,Liberalized
Maharashtra,Idea Cellular Ltd,1800,1856.5,1858.5,D,1
Maharashtra,Tata Teleservices Ltd,1800,1756.5,1761.5,U,1
Maharashtra,Tata Teleservices Ltd,1800,1851.5,1856.5,D,1
Mumbai,Tata Teleservices Ltd,1800,1759.9,1764.9,U,1
Mumbai,Tata Teleservices Ltd,1800,1854.9,1859.9,D,1
North East,Bharti Airtel Ltd,1800,1753.5,1754.9,U,1
North East,Bharti Airtel Ltd,1800,1848.5,1849.9,D,1
North East,Vodafone India Ltd,1800,1745.7,1753.5,U,1
North East,Vodafone India Ltd,1800,1840.7,1848.5,D,1
Punjab,Bharti Airtel Ltd,1800,1740.3,1741.1,U,1
Punjab,Bharti Airtel Ltd,1800,1835.3,1836.1,D,1
Punjab,Idea Cellular Ltd,1800,1738.3,1740.3,U,1
Punjab,Idea Cellular Ltd,1800,1833.3,1835.3,D,1
Punjab,Reliance Jio Infocomm Ltd,1800,1730.1,1735.3,U,1
Punjab,Reliance Jio Infocomm Ltd,1800,1825.1,1830.3,D,1
Punjab,Vodafone India Ltd,1800,1735.3,1738.3,U,1
Punjab,Vodafone India Ltd,1800,1830.3,1833.3,D,1
Rajasthan,Bharti Airtel Ltd,1800,1740.1,1741.9,U,1
Rajasthan,Bharti Airtel Ltd,1800,1835.1,1836.9,D,1
Rajasthan,Idea Cellular Ltd,1800,1730.9,1735.9,U,1
Rajasthan,Idea Cellular Ltd,1800,1825.9,1830.9,D,1
Rajasthan,Vodafone India Ltd,1800,1735.9,1740.1,U,1
Rajasthan,Vodafone India Ltd,1800,1830.9,1835.1,D,1
Uttar Pradesh (East),Reliance Jio Infocomm Ltd,1800,1733.5,1736.9,U,1
Uttar Pradesh (East),Reliance Jio Infocomm Ltd,1800,1828.5,1831.9,D,1
Uttar Pradesh (East),Vodafone India Ltd,1800,1736.9,1738.9,U,1
Uttar Pradesh (East),Vodafone India Ltd,1800,1831.9,1833.9,D,1
Uttar Pradesh (West),Idea Cellular Ltd,1800,1734.5,1741.7,U,1
Uttar Pradesh (West),Idea Cellular Ltd,1800,1829.5,1836.7,D,1
Uttar Pradesh (West),Reliance Jio Infocomm Ltd,1800,1729.5,1734.5,U,1
Uttar Pradesh (West),Reliance Jio Infocomm Ltd,1800,1824.5,1829.5,D,1
Uttar Pradesh (West),Vodafone India Ltd,1800,1727.1,1729.5,U,1
Uttar Pradesh (West),Vodafone India Ltd,1800,1822.1,1824.5,D,1
West Bengal,Idea Cellular Ltd,1800,1741.7,1746.7,U,1
West Bengal,Idea Cellular Ltd,1800,1836.7,1841.7,D,1
West Bengal,Reliance Jio Infocomm Ltd,1800,1746.7,1751.7,U,1
West Bengal,Reliance Jio Infocomm Ltd,1800,1841.7,1846.7,D,1
West Bengal,Vodafone India Ltd,1800,1734.1,1741.7,U,1
West Bengal,Vodafone India Ltd,1800,1829.1,1836.7,D,1
Bihar,Bharti Airtel Ltd,2100,1944,1949,U,1
Bihar,Bharti Airtel Ltd,2100,2134,2139,D,1
Bihar,Idea Cellular Ltd,2100,1939,1944,U,1
Bihar,Idea Cellular Ltd,2100,2129,2134,D,1
Delhi,Bharti Airtel Ltd,2100,1939,1944,U,1
Delhi,Bharti Airtel Ltd,2100,2129,2134,D,1
Haryana,Vodafone India Ltd,2100,1939,1944,U,1
Haryana,Vodafone India Ltd,2100,2129,2134,D,1
Jammu & Kashmir,Bharti Airtel Ltd,2100,1939,1944,U,1
Jammu & Kashmir,Bharti Airtel Ltd,2100,2129,2134,D,1
Kerala,Bharti Airtel Ltd,2100,1939,1944,U,1
Kerala,Bharti Airtel Ltd,2100,2129,2134,D,1
Maharashtra,Vodafone India Ltd,2100,1939,1944,U,1
Maharashtra,Vodafone India Ltd,2100,2129,2134,D,1
Mumbai,Idea Cellular Ltd,2100,1939,1944,U,1
Mumbai,Idea Cellular Ltd,2100,2129,2134,D,1
Odisha,Vodafone India Ltd,2100,1939,1944,U,1
Odisha,Vodafone India Ltd,2100,2129,2134,D,1
Punjab,Vodafone India Ltd,2100,1939,1944,U,1
Punjab,Vodafone India Ltd,2100,2129,2134,D,1
Rajasthan,Bharti Airtel Ltd,2100,1944,1949,U,1
Rajasthan,Bharti Airtel Ltd,2100,2134,2139,D,1
Rajasthan,Idea Cellular Ltd,2100,1949,1954,U,1
Rajasthan,Idea Cellular Ltd,2100,2139,2144,D,1
Rajasthan,Vodafone India Ltd,2100,1939,1944,U,1
Rajasthan,Vodafone India Ltd,2100,2129,2134,D,1
Tamil Nadu,Vodafone India Ltd,2100,1939,1949,U,1
Tamil Nadu,Vodafone India Ltd,2100,2129,2139,D,1
Uttar Pradesh (East),Idea Cellular Ltd,2100,1944,1949,U,1
Uttar Pradesh (East),Idea Cellular Ltd,2100,2134,2139,D,1
Uttar Pradesh (East),Vodafone India Ltd,2100,1939,1944,U,1
Uttar Pradesh (East),Vodafone India Ltd,2100,2129,2134,D,1
Andhra Pradesh,Bharti Airtel Ltd,2300,2325,2335,U/P,1
Andhra Pradesh,Reliance Jio Infocomm Ltd,2300,2335,2345,U/P,1
Assam,Bharti Airtel Ltd,2300,2347.5,2357.5,U/P,1
Assam,Reliance Jio Infocomm Ltd,2300,2357.5,2367.5,U/P,1
Bihar,Bharti Airtel Ltd,2300,2357.5,2367.5,U/P,1
Bihar,Reliance Jio Infocomm Ltd,2300,2367.5,2377.5,U/P,1
Delhi,Bharti Airtel Ltd,2300,2350,2360,U/P,1
Delhi,Reliance Jio Infocomm Ltd,2300,2360,2370,U/P,1
Gujarat,Bharti Airtel Ltd,2300,2350,2360,U/P,1
Gujarat,Reliance Jio Infocomm Ltd,2300,2360,2370,U/P,1
Himachal Pradesh,Bharti Airtel Ltd,2300,2377.5,2387.5,U/P,1
Himachal Pradesh,Reliance Jio Infocomm Ltd,2300,2367.5,2377.5,U/P,1
Karnataka,Bharti Airtel Ltd,2300,2350,2360,U/P,1
Karnataka,Reliance Jio Infocomm Ltd,2300,2360,2370,U/P,1
Kerala,Idea Cellular Ltd,2300,2360,2370,U/P,1
Kerala,Reliance Jio Infocomm Ltd,2300,2350,2360,U/P,1
Kolkata,Bharti Airtel Ltd,2300,2355,2365,U/P,1
Kolkata,Reliance Jio Infocomm Ltd,2300,2365,2375,U/P,1
Madhya Pradesh,Idea Cellular Ltd,2300,2352.5,2362.5,U/P,1
Madhya Pradesh,Reliance Jio Infocomm Ltd,2300,2362.5,2372.5,U/P,1
Maharashtra,Idea Cellular Ltd,2300,2365,2375,U/P,1
Maharashtra,Reliance Jio Infocomm Ltd,2300,2355,2365,U/P,1
Mumbai,Bharti Airtel Ltd,2300,2355,2365,U/P,1
Mumbai,Reliance Jio Infocomm Ltd,2300,2365,2375,U/P,1
North East,Bharti Airtel Ltd,2300,2357.5,2367.5,U/P,1
North East,Reliance Jio Infocomm Ltd,2300,2347.5,2357.5,U/P,1
Odisha,Bharti Airtel Ltd,2300,2388,2398,U/P,1
Odisha,Reliance Jio Infocomm Ltd,2300,2378,2388,U/P,1
Tamil Nadu,Bharti Airtel Ltd,2300,2357.5,2367.5,U/P,1
Tamil Nadu,Reliance Jio Infocomm Ltd,2300,2367.5,2377.5,U/P,1
West Bengal,Bharti Airtel Ltd,2300,2355,2365,U/P,1
West Bengal,Reliance Jio Infocomm Ltd,2300,2365,2375,U/P,1
Andhra Pradesh,Idea Cellular Ltd,2500,2635,2645,U/P,1
Assam,Idea Cellular Ltd,2500,2535,2545,U/P,1
Assam,Vodafone India Ltd,2500,2545,2555,U/P,1
Bihar,Idea Cellular Ltd,2500,2535,2545,U/P,1
Delhi,Vodafone India Ltd,2500,2635,2655,U/P,1
Gujarat,Idea Cellular Ltd,2500,2535,2545,U/P,1
Gujarat,Vodafone India Ltd,2500,2635,2655,U/P,1
Haryana,Idea Cellular Ltd,2500,2545,2555,U/P,1
Haryana,Vodafone India Ltd,2500,2535,2545,U/P,1
Himachal Pradesh,Idea Cellular Ltd,2500,2535,2545,U/P,1
Jammu & Kashmir,Idea Cellular Ltd,2500,2535,2545,U/P,1
Kerala,Idea Cellular Ltd,2500,2535,2545,U/P,1
Kerala,Vodafone India Ltd,2500,2545,2555,U/P,1
Kolkata,Vodafone India Ltd,2500,2635,2655,U/P,1
Madhya Pradesh,Idea Cellular Ltd,2500,2535,2555,U/P,1
Maharashtra,Idea Cellular Ltd,2500,2535,2545,U/P,1
Maharashtra,Vodafone India Ltd,2500,2635,2655,U/P,1
Mumbai,Vodafone India Ltd,2500,2635,2655,U/P,1
North East,Idea Cellular Ltd,2500,2535,2545,U/P,1
North East,Vodafone India Ltd,2500,2545,2555,U/P,1
Odisha,Idea Cellular Ltd,2500,2535,2545,U/P,1
Odisha,Vodafone India Ltd,2500,2545,2555,U/P,1
Punjab,Vodafone India Ltd,2500,2535,2545,U/P,1
Rajasthan,Idea Cellular Ltd,2500,2535,2545,U/P,1
Rajasthan,Vodafone India Ltd,2500,2545,2555,U/P,1
Uttar Pradesh (East),Idea Cellular Ltd,2500,2535,2545,U/P,1
Uttar Pradesh (East),Vodafone India Ltd,2500,2545,2555,U/P,1
Uttar Pradesh (West),Idea Cellular Ltd,2500,2535,2545,U/P,1
Uttar Pradesh (West),Vodafone India Ltd,2500,2545,2555,U/P,1
West Bengal,Idea Cellular Ltd,2500,2545,2555,U/P,1
West Bengal,Vodafone India Ltd,2500,2535,2545,U/P,1
